atc_code,canonical_audit_channel,nsa_rows,nsa_unique_product_pack_keys
A11G1,KHPA,1247,32
A11G1,KPA,1059,26
A11G2,KHPA,56,4
A11G2,KPA,919,24
A11X1,KCPA,14,1
A11X1,KHPA,82,3
A11X1,KPA,91,4
A11X2,KCPA,393,8
A11X2,KHPA,288,6
A11X2,KPA,103,4
A11X3,KHPA,180,3
A11X3,KPA,238,4
A11X9,KCPA,384,10
A11X9,KHPA,525,12
A11X9,KPA,2321,75
A12A0,KCPA,238,7
A12A0,KHPA,2367,74
A12A0,KPA,6115,170
A12B0,KCPA,7,1
A12B0,KHPA,76,2
A12B0,KPA,82,3
A12C1,KCPA,60,1
A12C1,KHPA,282,7
A12C1,KPA,1340,30
A12C2,KCPA,132,5
A12C2,KHPA,508,15
A12C2,KPA,822,19
A13A2,KCPA,39,2
A13A2,KHPA,891,36
A13A2,KPA,4380,123
A14A1,KHPA,60,1
A14A1,KPA,60,1
A14B0,KHPA,56,1
A14B0,KPA,120,2
A15A0,KCPA,104,2
A15A0,KHPA,179,5
A15A0,KPA,457,9
A16A0,KCPA,891,20
A16A0,KHPA,1928,52
A16A0,KPA,252,10
B01A0,KCPA,100,3
B01A0,KHPA,411,8
B01A0,KPA,420,7
B01B1,KCPA,120,5
B01B1,KHPA,719,15
B01B1,KPA,175,6
B01B2,KCPA,359,13
B01B2,KHPA,1054,18
B01B2,KPA,444,13
B01B3,KCPA,102,2
B01B3,KHPA,180,3
B01B3,KPA,100,3
B01C1,KCPA,629,19
B01C1,KHPA,1721,55
B01C1,KPA,5994,125
B01C2,KCPA,1050,32
B01C2,KHPA,3450,120
B01C2,KPA,14756,292
B01C3,KHPA,120,2
B01C4,KCPA,505,15
B01C4,KHPA,4369,141
B01C4,KPA,14894,316
B01C5,KCPA,113,6
B01C5,KHPA,1579,53
B01C5,KPA,4342,124
B01C9,KCPA,322,10
B01C9,KHPA,2117,81
B01C9,KPA,12237,249
B01D0,KCPA,330,21
B01D0,KHPA,852,34
B01D0,KPA,1750,56
B01E0,KCPA,20,2
B01E0,KHPA,240,4
B01E0,KPA,129,3
B01F0,KCPA,108,6
B01F0,KHPA,2668,130
B01F0,KPA,8025,247
B01X0,KHPA,98,2
B01X0,KPA,3,1
B02A1,KCPA,179,6
B02A1,KHPA,505,14
B02A1,KPA,790,22
B02B1,KCPA,60,1
B02B1,KHPA,60,1
B02B1,KPA,60,1
B02B2,KCPA,60,1
B02B2,KHPA,60,1
B02B2,KPA,5,1
B02B9,KHPA,45,1
B02C1,KHPA,120,2
B02C2,KCPA,277,9
B02C2,KHPA,1044,24
B02C2,KPA,698,16
B02C3,KHPA,120,2
B02C3,KPA,54,2
B02D1,KHPA,1853,37
B02D1,KPA,461,21
B02D2,KHPA,820,19
B02D2,KPA,229,12
B02D3,KHPA,278,5
B02D3,KPA,83,4
B02D4,KHPA,56,1
B02D5,KHPA,60,1
B02E1,KHPA,205,7
B02E1,KPA,157,7
B02E9,KHPA,10,2
B02E9,KPA,10,2
B02F0,KCPA,123,4
B02F0,KHPA,1102,24
B02F0,KPA,75,8
B02G0,KCPA,112,2
B02G0,KHPA,468,9
B02G0,KPA,18,2
B03A1,KCPA,795,19
B03A1,KHPA,1646,33
B03A1,KPA,1375,30
B03A2,KPA,1356,34
B03C0,KCPA,3196,65
B03C0,KHPA,3152,58
B03C0,KPA,886,31
B03X0,KCPA,139,4
B03X0,KHPA,303,9
B03X0,KPA,307,7
B06B0,KCPA,575,15
B06B0,KHPA,1079,25
B06B0,KPA,3,1
B06D0,KHPA,60,1
B06D0,KPA,47,1
B06X0,KHPA,17,3
C01A1,KCPA,60,1
C01A1,KHPA,239,4
C01A1,KPA,185,5
C01B0,KCPA,122,3
C01B0,KHPA,1157,28
C01B0,KPA,1099,25
C01C1,KCPA,221,9
C01C1,KHPA,1086,24
C01C1,KPA,418,14
C01C2,KHPA,1039,20
C01C2,KPA,172,6
C01D0,KCPA,338,11
C01D0,KHPA,1479,35
C01D0,KPA,1612,32
C01E0,KCPA,375,10
C01E0,KHPA,1540,36
C01E0,KPA,1598,38
C01F0,KHPA,60,1
C01F0,KPA,23,1
C01X0,KCPA,523,16
C01X0,KHPA,1110,27
C01X0,KPA,1289,43
C02A1,KHPA,41,1
C02A2,KCPA,254,7
C02A2,KHPA,776,24
C02A2,KPA,1330,37
C03A1,KCPA,86,3
C03A1,KHPA,340,8
C03A1,KPA,402,9
C03A2,KCPA,328,9
C03A2,KHPA,1365,28
C03A2,KPA,1628,34
C03A3,KCPA,94,3
C03A3,KHPA,416,8
C03A3,KPA,608,14
C03A5,KHPA,120,2
C03A5,KPA,124,3
C03A7,KHPA,153,4
C03A7,KPA,195,6
C03A9,KHPA,60,1
C03A9,KPA,60,1
C04A1,KCPA,1557,51
C04A1,KHPA,5790,218
C04A1,KPA,19078,581
C04A2,KCPA,11,1
C04A2,KHPA,386,8
C04A2,KPA,373,7
C05A1,KCPA,32,2
C05A1,KHPA,325,7
C05A1,KPA,471,12
C05A2,KCPA,206,6
C05A2,KHPA,593,18
C05A2,KPA,1280,27
C05B0,KCPA,103,4
C05B0,KHPA,325,10
C05B0,KPA,821,19
C05C0,KCPA,248,10
C05C0,KHPA,2305,89
C05C0,KPA,9564,239
C06B1,KHPA,338,7
C06B1,KPA,357,7
C06B2,KHPA,60,1
C06B2,KPA,60,1
C06B3,KHPA,374,7
C06B3,KPA,257,5
C06B9,KHPA,17,5
C06B9,KPA,16,5
C06X0,KHPA,159,5
C06X0,KPA,169,6
C07A0,KCPA,2087,65
C07A0,KHPA,6529,179
C07A0,KPA,12433,260
C07B1,KCPA,40,1
C07B1,KHPA,267,8
C07B1,KPA,894,21
C08A0,KCPA,2783,82
C08A0,KHPA,9048,274
C08A0,KPA,28538,599
C08B2,KPA,37,1
C09A0,KCPA,172,6
C09A0,KHPA,1541,41
C09A0,KPA,2856,79
C09B1,KHPA,60,1
C09B1,KPA,60,1
C09B3,KHPA,101,4
C09B3,KPA,193,4
C09C0,KCPA,3237,98
C09C0,KHPA,11623,374
C09C0,KPA,38515,854
C09D1,KCPA,158,11
C09D1,KHPA,4767,183
C09D1,KPA,28060,613
C09D3,KCPA,1488,67
C09D3,KHPA,9743,366
C09D3,KPA,48203,1088
C09D9,KCPA,58,2
C09D9,KHPA,240,4
C09D9,KPA,240,4
C10A1,KCPA,1815,60
C10A1,KHPA,13222,493
C10A1,KPA,63906,1341
C10A2,KCPA,92,4
C10A2,KHPA,1343,39
C10A2,KPA,2631,54
C10A3,KHPA,46,3
C10A3,KPA,59,2
C10A4,KCPA,22,1
C10A4,KHPA,176,5
C10A4,KPA,165,4
C10A9,KCPA,10,1
C10A9,KHPA,261,11
C10A9,KPA,1023,22
C10B0,KCPA,311,12
C10B0,KHPA,1046,38
C10B0,KPA,3465,85
C10C0,KCPA,623,27
C10C0,KHPA,7219,249
C10C0,KPA,27958,641
C11A1,KCPA,43,4
C11A1,KHPA,4666,162
C11A1,KPA,20852,503
D01A1,KCPA,157,10
D01A1,KHPA,2693,79
D01A1,KPA,10906,257
D01A3,KHPA,533,14
D01A3,KPA,926,19
D02A0,KHPA,1457,38
D02A0,KPA,2917,85
D03A1,KCPA,58,1
D03A1,KHPA,332,8
D03A1,KPA,136,3
D03A9,KCPA,694,24
D03A9,KHPA,3362,79
D03A9,KPA,1798,60
D04A0,KCPA,30,3
D04A0,KHPA,453,13
D04A0,KPA,2585,66
D05A0,KHPA,322,7
D05A0,KPA,630,12
D05B0,KCPA,34,2
D05B0,KHPA,366,12
D05B0,KPA,292,19
D05X0,KCPA,3,1
D05X0,KHPA,667,25
D05X0,KPA,2167,50
D06A0,KCPA,253,10
D06A0,KHPA,1337,34
D06A0,KPA,2860,66
D06D1,KCPA,81,5
D06D1,KHPA,947,21
D06D1,KPA,2421,55
D06D9,KCPA,29,1
D06D9,KHPA,60,1
D06D9,KPA,60,1
D07A0,KCPA,524,27
D07A0,KHPA,4985,151
D07A0,KPA,14156,278
D07B1,KCPA,67,4
D07B1,KHPA,622,19
D07B1,KPA,3224,79
D07B2,KCPA,143,8
D07B2,KHPA,449,12
D07B2,KPA,968,18
D07B3,KCPA,128,3
D07B3,KHPA,386,12
D07B3,KPA,846,17
D07B4,KCPA,5,1
D07B4,KHPA,107,2
D07B4,KPA,797,19
D08A0,KCPA,60,4
D08A0,KHPA,5888,161
D08A0,KPA,4348,138
D10A0,KCPA,51,13
D10A0,KHPA,1148,40
D10A0,KPA,3504,83
D10B0,KCPA,3,1
D10B0,KHPA,263,11
D10B0,KPA,1217,33
D11A0,KCPA,127,14
D11A0,KHPA,1422,52
D11A0,KPA,12724,299
G01A1,KCPA,60,1
G01A1,KHPA,66,3
G01A1,KPA,473,9
G01A2,KPA,17,1
G01B0,KCPA,614,14
G01B0,KHPA,809,18
G01B0,KPA,1116,24
G01C0,KCPA,58,1
G01C0,KHPA,8,1
G01C0,KPA,60,1
G01D0,KCPA,197,4
G01D0,KHPA,409,10
G01D0,KPA,498,10
G02A0,KCPA,467,12
G02A0,KHPA,632,13
G02A0,KPA,288,7
G02B0,KCPA,60,1
G02B0,KHPA,49,1
G02B0,KPA,66,2
G02D0,KCPA,88,5
G02D0,KHPA,296,8
G02D0,KPA,419,8
G02E0,KCPA,54,1
G02E0,KHPA,413,8
G02E0,KPA,38,1
G02F0,KCPA,178,6
G02F0,KHPA,172,7
G02F0,KPA,214,7
G02X1,KHPA,13,2
G02X1,KPA,806,23
G02X9,KCPA,17,1
G02X9,KHPA,66,4
G02X9,KPA,1233,28
G03A1,KCPA,39,4
G03A1,KHPA,276,9
G03A1,KPA,1178,27
G03A4,KCPA,9,1
G03A4,KHPA,54,1
G03A4,KPA,63,2
G03A5,KHPA,7,1
G03A5,KPA,101,5
G03A6,KCPA,129,4
G03A6,KHPA,355,11
G03A6,KPA,739,18
G03A9,KCPA,232,5
G03A9,KHPA,218,5
G03A9,KPA,50,3
G03B0,KCPA,190,4
G03B0,KHPA,214,6
G03B0,KPA,256,6
G03C0,KCPA,159,5
G03C0,KHPA,361,10
G03C0,KPA,501,13
G03D0,KCPA,277,12
G03D0,KHPA,842,21
G03D0,KPA,1158,28
G03F0,KHPA,217,6
G03F0,KPA,344,9
G03G0,KCPA,669,18
G03G0,KHPA,1957,42
G03G0,KPA,216,10
G03J0,KCPA,24,1
G03J0,KHPA,633,26
G03J0,KPA,2315,56
G03X0,KCPA,863,21
G03X0,KHPA,706,22
G03X0,KPA,811,20
G04A1,KHPA,178,5
G04A1,KPA,231,5
G04A9,KHPA,147,4
G04A9,KPA,151,4
G04C2,KCPA,221,18
G04C2,KHPA,5326,200
G04C2,KPA,20974,432
G04C3,KCPA,150,8
G04C3,KHPA,2596,92
G04C3,KPA,9178,182
G04C4,KHPA,52,2
G04C4,KPA,73,2
G04C7,KPA,4,4
G04C9,KCPA,6,2
G04C9,KHPA,120,5
G04C9,KPA,420,14
G04D4,KCPA,154,16
G04D4,KHPA,3647,134
G04D4,KPA,13604,315
G04E1,KCPA,115,16
G04E1,KHPA,1592,56
G04E1,KPA,12933,254
G04E9,KCPA,116,4
G04E9,KHPA,207,4
G04E9,KPA,154,3
G04X0,KCPA,79,4
G04X0,KHPA,777,23
G04X0,KPA,2220,54
Grand Total,Grand Total,40,1
H01A0,KCPA,37,1
H01A0,KHPA,60,1
H01A0,KPA,60,1
H01C2,KHPA,753,16
H01C2,KPA,154,10
H01C3,KCPA,110,3
H01C3,KHPA,195,4
H01C3,KPA,6,2
H02A1,KCPA,1643,36
H02A1,KHPA,1641,34
H02A1,KPA,765,27
H02A2,KCPA,173,14
H02A2,KHPA,2774,84
H02A2,KPA,9846,205
H02B0,KHPA,3,1
H02B0,KPA,49,1
H03A0,KCPA,306,11
H03A0,KHPA,1187,28
H03A0,KPA,1345,29
H03B0,KHPA,444,13
H03B0,KPA,627,15
H03C0,KHPA,69,2
H03C0,KPA,69,2
H04A0,KCPA,199,5
H04A0,KHPA,223,7
H04A0,KPA,28,2
H04B0,KHPA,62,2
H04B0,KPA,20,1
H04C0,KCPA,237,10
H04C0,KHPA,1175,30
H04C0,KPA,1222,29
H04D0,KCPA,89,3
H04D0,KHPA,1285,40
H04D0,KPA,2626,54
H04E0,KCPA,114,3
H04E0,KHPA,182,4
H04E0,KPA,143,4
H04F0,KCPA,860,24
H04F0,KHPA,895,24
H04F0,KPA,574,17
H04G0,KHPA,1,1
H04G0,KPA,1,1
J01A0,KCPA,27,4
J01A0,KHPA,697,26
J01A0,KPA,1570,39
J01C1,KCPA,956,39
J01C1,KHPA,7348,232
J01C1,KPA,22369,464
J01C2,KCPA,604,20
J01C2,KHPA,2899,57
J01C2,KPA,558,24
J01D1,KCPA,2187,99
J01D1,KHPA,10390,357
J01D1,KPA,35390,721
J01D2,KCPA,3439,126
J01D2,KHPA,9758,220
J01D2,KPA,476,43
J01E0,KCPA,60,1
J01E0,KHPA,184,5
J01E0,KPA,72,3
J01F0,KCPA,733,22
J01F0,KHPA,4831,193
J01F0,KPA,26460,545
J01G1,KCPA,669,37
J01G1,KHPA,5877,202
J01G1,KPA,22073,469
J01G2,KCPA,619,32
J01G2,KHPA,4614,95
J01G2,KPA,106,10
J01H1,KCPA,62,2
J01H1,KHPA,246,5
J01K0,KCPA,1639,50
J01K0,KHPA,1893,57
J01K0,KPA,317,12
J01M0,KHPA,60,1
J01M0,KPA,60,1
J01P1,KHPA,26,2
J01P2,KCPA,63,6
J01P2,KHPA,2268,54
J01P2,KPA,280,12
J01X1,KCPA,345,17
J01X1,KHPA,1779,34
J01X1,KPA,47,6
J01X2,KHPA,145,3
J01X2,KPA,7,1
J01X9,KHPA,689,16
J01X9,KPA,260,8
J02A0,KCPA,149,10
J02A0,KHPA,4594,169
J02A0,KPA,26426,553
J03A0,KHPA,50,1
J03A0,KPA,6,1
J04A1,KCPA,33,2
J04A1,KHPA,1075,24
J04A1,KPA,1061,21
J04A5,KHPA,60,1
J04A5,KPA,60,1
J04A7,KHPA,60,1
J04A7,KPA,60,1
J04B0,KHPA,232,5
J04B0,KPA,193,4
J05B3,KCPA,286,16
J05B3,KHPA,4620,150
J05B3,KPA,12904,254
J05B4,KCPA,322,25
J05B4,KHPA,1251,57
J05B4,KPA,3266,137
J05B6,KHPA,22,2
J05B6,KPA,11,1
J05B9,KHPA,103,4
J05B9,KPA,342,7
J05C1,KHPA,879,22
J05C1,KPA,1705,37
J05C2,KHPA,408,8
J05C2,KPA,25,3
J05C3,KHPA,231,5
J05C3,KPA,41,3
J05C5,KHPA,190,5
J05C5,KPA,44,3
J05C8,KHPA,287,5
J05C8,KPA,171,5
J05D1,KHPA,133,6
J05D1,KPA,192,6
J05D2,KHPA,1904,48
J05D2,KPA,4209,85
J05D3,KHPA,151,6
J05D3,KPA,253,8
J06A1,KHPA,75,2
J06A1,KPA,3,1
J06C0,KCPA,83,2
J06C0,KHPA,774,18
J06C0,KPA,134,6
J06E0,KCPA,76,2
J06E0,KHPA,112,3
J06E0,KPA,3,1
J06F0,KCPA,60,1
J06F0,KHPA,60,1
J06F0,KPA,3,1
J06G1,KCPA,154,3
J06G1,KHPA,154,3
J06G1,KPA,96,2
J06H4,KCPA,64,3
J06H4,KHPA,360,6
J06H5,KHPA,60,1
J06H6,KCPA,13,2
J06H6,KHPA,226,6
J06H9,KHPA,51,1
J06J0,KCPA,52,2
J06J0,KHPA,119,2
J06J0,KPA,12,1
J07B1,KCPA,654,15
J07B1,KHPA,583,15
J07B1,KPA,81,5
J07B2,KCPA,105,2
J07B2,KHPA,98,2
J07B2,KPA,3,1
J07D1,KCPA,256,7
J07D1,KHPA,247,7
J07D1,KPA,19,1
J07D2,KCPA,134,3
J07D2,KHPA,131,3
J07D3,KCPA,64,2
J07D3,KHPA,60,1
J07D4,KCPA,60,1
J07D4,KHPA,112,3
J07D4,KPA,1,1
J07D6,KCPA,120,2
J07D6,KHPA,114,2
J07D7,KHPA,31,1
J07D7,KPA,2,1
