level,market,brand_id,brand_name,brand_normalized,matched_brand_in_master,current_value,target_value,policy,match_type,action,confidence
ml,ml_008,sb_008_00371,코디잔틴,코디잔틴,코디잔틴,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00367,코디큐반,코디큐반,코디큐반,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00796,코디핀,코디핀,코디핀,Benidipine,Benidipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00085,코로자,코로자,코로자,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00286,코로자 플러스,코로자플러스,코로자플러스,Losartan/Hydrochlorothiazide,Losartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00410,코로잘탄,코로잘탄,코로잘탄,Losartan/Amlodipine,Losartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00381,코바라탄,코바라탄,코바라탄,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00358,코바로살탄,코바로살탄,코바로살탄,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00357,코바소탄,코바소탄,코바소탄,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00385,코발사렉트,코발사렉트,코발사렉트,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00378,코발사벨,코발사벨,코발사벨,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00354,코발사텍,코발사텍,코발사텍,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00372,코발산,코발산,코발산,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01071,코비스,코비스,코비스,bisoprolol/hydrochlorothiazide,bisoprolol/hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00721,코비스크,코비스크,코비스크,Amlodipine,Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00076,코사로탄,코사로탄,코사로탄,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00087,코사탄,코사탄,코사탄,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00287,코사탄 플러스,코사탄플러스,코사탄플러스,Losartan/Hydrochlorothiazide,Losartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00058,코살,코살,코살,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00093,코스카,코스카,코스카,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00415,코스카 이엑스,코스카이엑스,코스카이엑스,Losartan/Amlodipine,Losartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00254,코아프로벨,코아프로벨,코아프로벨,Irbesartan/Hydrochlorothiazide,Irbesartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00258,코이베스딜,코이베스딜,코이베스딜,Irbesartan/Hydrochlorothiazide,Irbesartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00059,코자뉴,코자뉴,코자뉴,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00054,코자르탄,코자르탄,코자르탄,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00265,코자르탄 플러스,코자르탄플러스,코자르탄플러스,Losartan/Hydrochlorothiazide,Losartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00063,코자살탄,코자살탄,코자살탄,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00271,코자살탄 플러스,코자살탄플러스,코자살탄플러스,Losartan/Hydrochlorothiazide,Losartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00635,코자 엑스큐,코자엑스큐,코자엑스큐,Losartan/amlodipine,Losartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00068,코잘탄,코잘탄,코잘탄,Iosartan,Iosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00406,코잘탄-엑스,코잘탄-엑스,코잘탄-엑스,Losartan/Amlodipine,Losartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00275,코잘탄-플러스,코잘탄-플러스,코잘탄-플러스,Losartan/Hydrochlorothiazide,Losartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00382,코플렉스,코플렉스,코플렉스,Valsartan/Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01011,콜듀엣,콜듀엣,콜듀엣,Atorvastatin/Amlodipine,Atorvastatin/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01021,콤비로칸,콤비로칸,콤비로칸,Rosuvastatin/Candesartan,Rosuvastatin/Candesartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00617,콤비포지,콤비포지,콤비포지,Valsartan/amlodipine,Valsartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00889,콩브럭,콩브럭,콩브럭,Bisoprolol,Bisoprolol,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00891,콩코르,콩코르,콩코르,Bisoprolol,Bisoprolol,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00890,콩크린,콩크린,콩크린,Bisoprolol,Bisoprolol,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00713,크라노스,크라노스,크라노스,Amlodipine,Amlodipine,molecule,normalized,NOOP,HIGH
