NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/code-serving-199                               1/1     1            1           46h     code-serving-199                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-199
deployment.apps/code-serving-211                               1/1     1            1           17d     code-serving-211                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:market_apis                                                                                         app=code-serving-211
deployment.apps/code-serving-226                               1/1     1            1           17d     code-serving-226                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/wf301-vdb-bridge:dryrun-20260630-uid3000                                                                                  app=code-serving-226
deployment.apps/code-serving-229                               1/1     1            1           16d     code-serving-229                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/wf301-vdb-bridge:commit-20260701                                                                                          app=code-serving-229
deployment.apps/code-serving-232                               1/1     1            1           16d     code-serving-232                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/wf301-vdb-bridge:api-20260701                                                                                             app=code-serving-232
deployment.apps/code-serving-235                               1/1     1            1           16d     code-serving-235                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/wf301-vdb-bridge@sha256:980f64cfa06a369cca0fa4a2b24db5232fa8923b83d3c216b70b7d23fcb62ecd                                  app=code-serving-235
deployment.apps/code-serving-238                               1/1     1            1           14d     code-serving-238                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/jw-topic-serving:topic-a27e8a72-20260701-200925                                                                           app=code-serving-238
deployment.apps/code-serving-244                               1/1     1            1           46h     code-serving-244                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-244
deployment.apps/code-serving-97                                1/1     1            1           46h     code-serving-97                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-97
deployment.apps/codespace-13                                   1/1     1            1           3d6h    codespace-13                        asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-codespace-slim:latest                                                                                            app=codespace-13
