brand_id,column,before,after
sb_002_00029,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00029,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00030,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00030,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00031,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00031,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00032,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00032,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00033,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00033,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00034,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00034,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00035,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00035,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00036,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00036,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00037,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00037,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00038,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00038,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00039,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00039,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00040,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00040,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00041,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00041,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00042,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00042,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00043,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00043,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00044,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00044,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00045,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00045,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00046,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00046,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00047,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00047,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
