product_id,column,before,after
sp_002_00014_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00014_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00014_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00014_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00014_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00014_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00015_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00015_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00016_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00016_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00017_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00017_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00018_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00018_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
