ml_id,sheet_name,strategic_brand_rows_before,strategic_product_rows_before
ml_002,제이클,45,186
ml_006,리바로 리바로젯,1095,1127
ml_010,뉴트로진 모빌리아,10,20
ml_012,페린젝트 베노훼럼,76,76
